group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
decrypt,decrypt M31,,,,55890347.0,ns,11
decrypt,decrypt M31,,,,50041567.0,ns,11
decrypt,decrypt M31,,,,49880401.0,ns,11
decrypt,decrypt M31,,,,50166197.0,ns,11
decrypt,decrypt M31,,,,55796595.0,ns,11
decrypt,decrypt M31,,,,50961827.0,ns,11
decrypt,decrypt M31,,,,50924382.0,ns,11
decrypt,decrypt M31,,,,50149011.0,ns,11
decrypt,decrypt M31,,,,50178003.0,ns,11
decrypt,decrypt M31,,,,53965368.0,ns,11
decrypt,decrypt M31,,,,50758326.0,ns,11
decrypt,decrypt M31,,,,50108981.0,ns,11
decrypt,decrypt M31,,,,50091097.0,ns,11
decrypt,decrypt M31,,,,49926229.0,ns,11
decrypt,decrypt M31,,,,50108632.0,ns,11
decrypt,decrypt M31,,,,49893884.0,ns,11
decrypt,decrypt M31,,,,50046737.0,ns,11
decrypt,decrypt M31,,,,49885641.0,ns,11
decrypt,decrypt M31,,,,49986727.0,ns,11
decrypt,decrypt M31,,,,49818645.0,ns,11
decrypt,decrypt M31,,,,50166477.0,ns,11
decrypt,decrypt M31,,,,50077126.0,ns,11
decrypt,decrypt M31,,,,50273012.0,ns,11
decrypt,decrypt M31,,,,50062036.0,ns,11
decrypt,decrypt M31,,,,50116247.0,ns,11
decrypt,decrypt M31,,,,56560998.0,ns,11
decrypt,decrypt M31,,,,51499186.0,ns,11
decrypt,decrypt M31,,,,51031546.0,ns,11
decrypt,decrypt M31,,,,51186914.0,ns,11
decrypt,decrypt M31,,,,50378640.0,ns,11
decrypt,decrypt M31,,,,50286076.0,ns,11
decrypt,decrypt M31,,,,50182963.0,ns,11
decrypt,decrypt M31,,,,50336375.0,ns,11
decrypt,decrypt M31,,,,50145518.0,ns,11
decrypt,decrypt M31,,,,50321005.0,ns,11
decrypt,decrypt M31,,,,50162425.0,ns,11
decrypt,decrypt M31,,,,50362851.0,ns,11
decrypt,decrypt M31,,,,50164381.0,ns,11
decrypt,decrypt M31,,,,50329598.0,ns,11
decrypt,decrypt M31,,,,50210278.0,ns,11
decrypt,decrypt M31,,,,50312971.0,ns,11
decrypt,decrypt M31,,,,50261415.0,ns,11
decrypt,decrypt M31,,,,50207763.0,ns,11
decrypt,decrypt M31,,,,50398550.0,ns,11
decrypt,decrypt M31,,,,50320097.0,ns,11
decrypt,decrypt M31,,,,50283700.0,ns,11
decrypt,decrypt M31,,,,56122420.0,ns,11
decrypt,decrypt M31,,,,51368339.0,ns,11
decrypt,decrypt M31,,,,50432082.0,ns,11
decrypt,decrypt M31,,,,50375077.0,ns,11
decrypt,decrypt M31,,,,50000560.0,ns,11
decrypt,decrypt M31,,,,49925810.0,ns,11
decrypt,decrypt M31,,,,49821719.0,ns,11
decrypt,decrypt M31,,,,50017885.0,ns,11
decrypt,decrypt M31,,,,49823186.0,ns,11
decrypt,decrypt M31,,,,49920780.0,ns,11
decrypt,decrypt M31,,,,49825003.0,ns,11
decrypt,decrypt M31,,,,49920012.0,ns,11
decrypt,decrypt M31,,,,49712040.0,ns,11
decrypt,decrypt M31,,,,49907507.0,ns,11
decrypt,decrypt M31,,,,49815432.0,ns,11
decrypt,decrypt M31,,,,49891648.0,ns,11
decrypt,decrypt M31,,,,49772188.0,ns,11
decrypt,decrypt M31,,,,49876000.0,ns,11
decrypt,decrypt M31,,,,49807608.0,ns,11
decrypt,decrypt M31,,,,49926439.0,ns,11
decrypt,decrypt M31,,,,53068371.0,ns,11
decrypt,decrypt M31,,,,60690884.0,ns,11
decrypt,decrypt M31,,,,50267563.0,ns,11
decrypt,decrypt M31,,,,49692619.0,ns,11
decrypt,decrypt M31,,,,49479617.0,ns,11
decrypt,decrypt M31,,,,49485904.0,ns,11
decrypt,decrypt M31,,,,49371894.0,ns,11
decrypt,decrypt M31,,,,49672360.0,ns,11
decrypt,decrypt M31,,,,49499108.0,ns,11
decrypt,decrypt M31,,,,49839743.0,ns,11
decrypt,decrypt M31,,,,49469418.0,ns,11
decrypt,decrypt M31,,,,49433929.0,ns,11
decrypt,decrypt M31,,,,49419958.0,ns,11
decrypt,decrypt M31,,,,49422402.0,ns,11
decrypt,decrypt M31,,,,49398930.0,ns,11
decrypt,decrypt M31,,,,49480246.0,ns,11
decrypt,decrypt M31,,,,49378950.0,ns,11
decrypt,decrypt M31,,,,49446713.0,ns,11
decrypt,decrypt M31,,,,49437073.0,ns,11
decrypt,decrypt M31,,,,49905761.0,ns,11
decrypt,decrypt M31,,,,54202610.0,ns,11
decrypt,decrypt M31,,,,51016177.0,ns,11
decrypt,decrypt M31,,,,50055609.0,ns,11
decrypt,decrypt M31,,,,49480316.0,ns,11
decrypt,decrypt M31,,,,49613258.0,ns,11
decrypt,decrypt M31,,,,49507770.0,ns,11
decrypt,decrypt M31,,,,49396484.0,ns,11
decrypt,decrypt M31,,,,49424219.0,ns,11
decrypt,decrypt M31,,,,49433510.0,ns,11
decrypt,decrypt M31,,,,49444897.0,ns,11
decrypt,decrypt M31,,,,49449088.0,ns,11
decrypt,decrypt M31,,,,49405216.0,ns,11
decrypt,decrypt M31,,,,49390127.0,ns,11
decrypt,decrypt M31,,,,49400257.0,ns,11
