group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encrypt,encrypt M521,,,,1253513.0,ns,4
encrypt,encrypt M521,,,,2603819.0,ns,8
encrypt,encrypt M521,,,,3907475.0,ns,12
encrypt,encrypt M521,,,,5511432.0,ns,16
encrypt,encrypt M521,,,,6365195.0,ns,20
encrypt,encrypt M521,,,,7780939.0,ns,24
encrypt,encrypt M521,,,,9048629.0,ns,28
encrypt,encrypt M521,,,,10394047.0,ns,32
encrypt,encrypt M521,,,,11730806.0,ns,36
encrypt,encrypt M521,,,,14160590.0,ns,40
encrypt,encrypt M521,,,,17755543.0,ns,44
encrypt,encrypt M521,,,,22334016.0,ns,48
encrypt,encrypt M521,,,,22073522.0,ns,52
encrypt,encrypt M521,,,,21776783.0,ns,56
encrypt,encrypt M521,,,,29219430.0,ns,60
encrypt,encrypt M521,,,,20442120.0,ns,64
encrypt,encrypt M521,,,,21739141.0,ns,68
encrypt,encrypt M521,,,,23105650.0,ns,72
encrypt,encrypt M521,,,,23764428.0,ns,76
encrypt,encrypt M521,,,,25043011.0,ns,80
encrypt,encrypt M521,,,,26276480.0,ns,84
encrypt,encrypt M521,,,,27607373.0,ns,88
encrypt,encrypt M521,,,,28895943.0,ns,92
encrypt,encrypt M521,,,,30525321.0,ns,96
encrypt,encrypt M521,,,,31580844.0,ns,100
encrypt,encrypt M521,,,,32896442.0,ns,104
encrypt,encrypt M521,,,,33739450.0,ns,108
encrypt,encrypt M521,,,,35147862.0,ns,112
encrypt,encrypt M521,,,,36348996.0,ns,116
encrypt,encrypt M521,,,,37858183.0,ns,120
encrypt,encrypt M521,,,,47424099.0,ns,124
encrypt,encrypt M521,,,,41366817.0,ns,128
encrypt,encrypt M521,,,,41303754.0,ns,132
encrypt,encrypt M521,,,,42380437.0,ns,136
encrypt,encrypt M521,,,,44082859.0,ns,140
encrypt,encrypt M521,,,,44877328.0,ns,144
encrypt,encrypt M521,,,,46351736.0,ns,148
encrypt,encrypt M521,,,,47311442.0,ns,152
encrypt,encrypt M521,,,,48638494.0,ns,156
encrypt,encrypt M521,,,,49834878.0,ns,160
encrypt,encrypt M521,,,,51816167.0,ns,164
encrypt,encrypt M521,,,,62278164.0,ns,168
encrypt,encrypt M521,,,,58535296.0,ns,172
encrypt,encrypt M521,,,,54992652.0,ns,176
encrypt,encrypt M521,,,,56465105.0,ns,180
encrypt,encrypt M521,,,,57351971.0,ns,184
encrypt,encrypt M521,,,,58661563.0,ns,188
encrypt,encrypt M521,,,,59949574.0,ns,192
encrypt,encrypt M521,,,,61266150.0,ns,196
encrypt,encrypt M521,,,,63115235.0,ns,200
encrypt,encrypt M521,,,,63715279.0,ns,204
encrypt,encrypt M521,,,,65161263.0,ns,208
encrypt,encrypt M521,,,,66298696.0,ns,212
encrypt,encrypt M521,,,,67538239.0,ns,216
encrypt,encrypt M521,,,,76982075.0,ns,220
encrypt,encrypt M521,,,,72922984.0,ns,224
encrypt,encrypt M521,,,,74537695.0,ns,228
encrypt,encrypt M521,,,,77361781.0,ns,232
encrypt,encrypt M521,,,,86520331.0,ns,236
encrypt,encrypt M521,,,,76494610.0,ns,240
encrypt,encrypt M521,,,,76962870.0,ns,244
encrypt,encrypt M521,,,,78183209.0,ns,248
encrypt,encrypt M521,,,,79385599.0,ns,252
encrypt,encrypt M521,,,,82179796.0,ns,256
encrypt,encrypt M521,,,,82629757.0,ns,260
encrypt,encrypt M521,,,,83458437.0,ns,264
encrypt,encrypt M521,,,,84577510.0,ns,268
encrypt,encrypt M521,,,,87708321.0,ns,272
encrypt,encrypt M521,,,,102190855.0,ns,276
encrypt,encrypt M521,,,,88708253.0,ns,280
encrypt,encrypt M521,,,,100038814.0,ns,284
encrypt,encrypt M521,,,,95977071.0,ns,288
encrypt,encrypt M521,,,,96079942.0,ns,292
encrypt,encrypt M521,,,,97367953.0,ns,296
encrypt,encrypt M521,,,,99944465.0,ns,300
encrypt,encrypt M521,,,,106869049.0,ns,304
encrypt,encrypt M521,,,,98463476.0,ns,308
encrypt,encrypt M521,,,,99485896.0,ns,312
encrypt,encrypt M521,,,,102129731.0,ns,316
encrypt,encrypt M521,,,,108375638.0,ns,320
encrypt,encrypt M521,,,,113254759.0,ns,324
encrypt,encrypt M521,,,,116402261.0,ns,328
encrypt,encrypt M521,,,,106418864.0,ns,332
encrypt,encrypt M521,,,,106937058.0,ns,336
encrypt,encrypt M521,,,,107905214.0,ns,340
encrypt,encrypt M521,,,,111475077.0,ns,344
encrypt,encrypt M521,,,,111998645.0,ns,348
encrypt,encrypt M521,,,,113791161.0,ns,352
encrypt,encrypt M521,,,,113725724.0,ns,356
encrypt,encrypt M521,,,,113553295.0,ns,360
encrypt,encrypt M521,,,,123136732.0,ns,364
encrypt,encrypt M521,,,,115356566.0,ns,368
encrypt,encrypt M521,,,,117955566.0,ns,372
encrypt,encrypt M521,,,,117561817.0,ns,376
encrypt,encrypt M521,,,,138413499.0,ns,380
encrypt,encrypt M521,,,,128380452.0,ns,384
encrypt,encrypt M521,,,,121764547.0,ns,388
encrypt,encrypt M521,,,,122632555.0,ns,392
encrypt,encrypt M521,,,,132477392.0,ns,396
encrypt,encrypt M521,,,,127538632.0,ns,400
