group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mul,mul M521,,,,1210532.0,ns,3
mul,mul M521,,,,3023779.0,ns,6
mul,mul M521,,,,3539057.0,ns,9
mul,mul M521,,,,4845407.0,ns,12
mul,mul M521,,,,5977020.0,ns,15
mul,mul M521,,,,7424517.0,ns,18
mul,mul M521,,,,8813141.0,ns,21
mul,mul M521,,,,10083664.0,ns,24
mul,mul M521,,,,11571459.0,ns,27
mul,mul M521,,,,11872468.0,ns,30
mul,mul M521,,,,13802418.0,ns,33
mul,mul M521,,,,14507449.0,ns,36
mul,mul M521,,,,16596355.0,ns,39
mul,mul M521,,,,17360121.0,ns,42
mul,mul M521,,,,18916498.0,ns,45
mul,mul M521,,,,19779994.0,ns,48
mul,mul M521,,,,24172910.0,ns,51
mul,mul M521,,,,24996390.0,ns,54
mul,mul M521,,,,24218516.0,ns,57
mul,mul M521,,,,24792039.0,ns,60
mul,mul M521,,,,25655258.0,ns,63
mul,mul M521,,,,26010043.0,ns,66
mul,mul M521,,,,27064553.0,ns,69
mul,mul M521,,,,28689373.0,ns,72
mul,mul M521,,,,30013673.0,ns,75
mul,mul M521,,,,31034379.0,ns,78
mul,mul M521,,,,32412246.0,ns,81
mul,mul M521,,,,34375580.0,ns,84
mul,mul M521,,,,36107883.0,ns,87
mul,mul M521,,,,36199374.0,ns,90
mul,mul M521,,,,41508515.0,ns,93
mul,mul M521,,,,45951017.0,ns,96
mul,mul M521,,,,46253773.0,ns,99
mul,mul M521,,,,41999908.0,ns,102
mul,mul M521,,,,43626195.0,ns,105
mul,mul M521,,,,44267183.0,ns,108
mul,mul M521,,,,45393906.0,ns,111
mul,mul M521,,,,45659158.0,ns,114
mul,mul M521,,,,47225173.0,ns,117
mul,mul M521,,,,48264527.0,ns,120
mul,mul M521,,,,49782912.0,ns,123
mul,mul M521,,,,53615364.0,ns,126
mul,mul M521,,,,57182072.0,ns,129
mul,mul M521,,,,61458842.0,ns,132
mul,mul M521,,,,55916087.0,ns,135
mul,mul M521,,,,56440023.0,ns,138
mul,mul M521,,,,57472533.0,ns,141
mul,mul M521,,,,58945242.0,ns,144
mul,mul M521,,,,63128499.0,ns,147
mul,mul M521,,,,62476615.0,ns,150
mul,mul M521,,,,62945379.0,ns,153
mul,mul M521,,,,62838944.0,ns,156
mul,mul M521,,,,66115541.0,ns,159
mul,mul M521,,,,65950930.0,ns,162
mul,mul M521,,,,68180841.0,ns,165
mul,mul M521,,,,66223444.0,ns,168
mul,mul M521,,,,68867434.0,ns,171
mul,mul M521,,,,71072692.0,ns,174
mul,mul M521,,,,77915156.0,ns,177
mul,mul M521,,,,90666131.0,ns,180
mul,mul M521,,,,77196644.0,ns,183
mul,mul M521,,,,86545242.0,ns,186
mul,mul M521,,,,79576710.0,ns,189
mul,mul M521,,,,81797262.0,ns,192
mul,mul M521,,,,93360196.0,ns,195
mul,mul M521,,,,82211062.0,ns,198
mul,mul M521,,,,83726792.0,ns,201
mul,mul M521,,,,80926152.0,ns,204
mul,mul M521,,,,81172965.0,ns,207
mul,mul M521,,,,82802255.0,ns,210
mul,mul M521,,,,99955634.0,ns,213
mul,mul M521,,,,101993763.0,ns,216
mul,mul M521,,,,87958018.0,ns,219
mul,mul M521,,,,88140789.0,ns,222
mul,mul M521,,,,88824099.0,ns,225
mul,mul M521,,,,91287624.0,ns,228
mul,mul M521,,,,91126364.0,ns,231
mul,mul M521,,,,91816798.0,ns,234
mul,mul M521,,,,94574766.0,ns,237
mul,mul M521,,,,94523574.0,ns,240
mul,mul M521,,,,95991881.0,ns,243
mul,mul M521,,,,105075845.0,ns,246
mul,mul M521,,,,99823903.0,ns,249
mul,mul M521,,,,99701964.0,ns,252
mul,mul M521,,,,98669803.0,ns,255
mul,mul M521,,,,98939524.0,ns,258
mul,mul M521,,,,101162730.0,ns,261
mul,mul M521,,,,101627861.0,ns,264
mul,mul M521,,,,103528967.0,ns,267
mul,mul M521,,,,106215419.0,ns,270
mul,mul M521,,,,105960429.0,ns,273
mul,mul M521,,,,116010205.0,ns,276
mul,mul M521,,,,109526294.0,ns,279
mul,mul M521,,,,111202166.0,ns,282
mul,mul M521,,,,113950914.0,ns,285
mul,mul M521,,,,115697115.0,ns,288
mul,mul M521,,,,114633596.0,ns,291
mul,mul M521,,,,115684404.0,ns,294
mul,mul M521,,,,118836686.0,ns,297
mul,mul M521,,,,122252325.0,ns,300
