group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encrypt,encrypt M31,,,,1032619.0,ns,15
encrypt,encrypt M31,,,,2095198.0,ns,30
encrypt,encrypt M31,,,,3181662.0,ns,45
encrypt,encrypt M31,,,,4135923.0,ns,60
encrypt,encrypt M31,,,,5448380.0,ns,75
encrypt,encrypt M31,,,,6301516.0,ns,90
encrypt,encrypt M31,,,,7373453.0,ns,105
encrypt,encrypt M31,,,,8745343.0,ns,120
encrypt,encrypt M31,,,,10183160.0,ns,135
encrypt,encrypt M31,,,,11579702.0,ns,150
encrypt,encrypt M31,,,,13522305.0,ns,165
encrypt,encrypt M31,,,,16916901.0,ns,180
encrypt,encrypt M31,,,,20407315.0,ns,195
encrypt,encrypt M31,,,,22083766.0,ns,210
encrypt,encrypt M31,,,,22824254.0,ns,225
encrypt,encrypt M31,,,,25426892.0,ns,240
encrypt,encrypt M31,,,,29152518.0,ns,255
encrypt,encrypt M31,,,,27680202.0,ns,270
encrypt,encrypt M31,,,,30893919.0,ns,285
encrypt,encrypt M31,,,,34490974.0,ns,300
encrypt,encrypt M31,,,,26540942.0,ns,315
encrypt,encrypt M31,,,,26736975.0,ns,330
encrypt,encrypt M31,,,,27398547.0,ns,345
encrypt,encrypt M31,,,,27323541.0,ns,360
encrypt,encrypt M31,,,,28906271.0,ns,375
encrypt,encrypt M31,,,,30147076.0,ns,390
encrypt,encrypt M31,,,,31781205.0,ns,405
encrypt,encrypt M31,,,,33743293.0,ns,420
encrypt,encrypt M31,,,,41615736.0,ns,435
encrypt,encrypt M31,,,,39550848.0,ns,450
encrypt,encrypt M31,,,,37806165.0,ns,465
encrypt,encrypt M31,,,,38352155.0,ns,480
encrypt,encrypt M31,,,,45099306.0,ns,495
encrypt,encrypt M31,,,,38720478.0,ns,510
encrypt,encrypt M31,,,,38192087.0,ns,525
encrypt,encrypt M31,,,,40129243.0,ns,540
encrypt,encrypt M31,,,,40290358.0,ns,555
encrypt,encrypt M31,,,,41205091.0,ns,570
encrypt,encrypt M31,,,,46051890.0,ns,585
encrypt,encrypt M31,,,,44714915.0,ns,600
encrypt,encrypt M31,,,,43387298.0,ns,615
encrypt,encrypt M31,,,,43454692.0,ns,630
encrypt,encrypt M31,,,,44673357.0,ns,645
encrypt,encrypt M31,,,,47165372.0,ns,660
encrypt,encrypt M31,,,,47768280.0,ns,675
encrypt,encrypt M31,,,,49268670.0,ns,690
encrypt,encrypt M31,,,,49087721.0,ns,705
encrypt,encrypt M31,,,,49763260.0,ns,720
encrypt,encrypt M31,,,,50781283.0,ns,735
encrypt,encrypt M31,,,,51758241.0,ns,750
encrypt,encrypt M31,,,,53814189.0,ns,765
encrypt,encrypt M31,,,,53213307.0,ns,780
encrypt,encrypt M31,,,,55390983.0,ns,795
encrypt,encrypt M31,,,,56069316.0,ns,810
encrypt,encrypt M31,,,,60510706.0,ns,825
encrypt,encrypt M31,,,,62622665.0,ns,840
encrypt,encrypt M31,,,,61019123.0,ns,855
encrypt,encrypt M31,,,,60842295.0,ns,870
encrypt,encrypt M31,,,,68418760.0,ns,885
encrypt,encrypt M31,,,,78213402.0,ns,900
encrypt,encrypt M31,,,,70970618.0,ns,915
encrypt,encrypt M31,,,,66021368.0,ns,930
encrypt,encrypt M31,,,,71452357.0,ns,945
encrypt,encrypt M31,,,,72387622.0,ns,960
encrypt,encrypt M31,,,,71916637.0,ns,975
encrypt,encrypt M31,,,,73970840.0,ns,990
encrypt,encrypt M31,,,,80264392.0,ns,1005
encrypt,encrypt M31,,,,98971573.0,ns,1020
encrypt,encrypt M31,,,,84755856.0,ns,1035
encrypt,encrypt M31,,,,100261473.0,ns,1050
encrypt,encrypt M31,,,,82931000.0,ns,1065
encrypt,encrypt M31,,,,82728809.0,ns,1080
encrypt,encrypt M31,,,,77370169.0,ns,1095
encrypt,encrypt M31,,,,78440779.0,ns,1110
encrypt,encrypt M31,,,,79760569.0,ns,1125
encrypt,encrypt M31,,,,79379675.0,ns,1140
encrypt,encrypt M31,,,,81421098.0,ns,1155
encrypt,encrypt M31,,,,82106413.0,ns,1170
encrypt,encrypt M31,,,,85529361.0,ns,1185
encrypt,encrypt M31,,,,86441999.0,ns,1200
encrypt,encrypt M31,,,,87808859.0,ns,1215
encrypt,encrypt M31,,,,112034951.0,ns,1230
encrypt,encrypt M31,,,,97108567.0,ns,1245
encrypt,encrypt M31,,,,94165527.0,ns,1260
encrypt,encrypt M31,,,,93353945.0,ns,1275
encrypt,encrypt M31,,,,94690775.0,ns,1290
encrypt,encrypt M31,,,,93140381.0,ns,1305
encrypt,encrypt M31,,,,93641606.0,ns,1320
encrypt,encrypt M31,,,,100204939.0,ns,1335
encrypt,encrypt M31,,,,103016877.0,ns,1350
encrypt,encrypt M31,,,,106315444.0,ns,1365
encrypt,encrypt M31,,,,120519005.0,ns,1380
encrypt,encrypt M31,,,,120748765.0,ns,1395
encrypt,encrypt M31,,,,105103813.0,ns,1410
encrypt,encrypt M31,,,,104657901.0,ns,1425
encrypt,encrypt M31,,,,105444831.0,ns,1440
encrypt,encrypt M31,,,,103452924.0,ns,1455
encrypt,encrypt M31,,,,104833333.0,ns,1470
encrypt,encrypt M31,,,,119008467.0,ns,1485
encrypt,encrypt M31,,,,115558982.0,ns,1500
