group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_g_h,find_g_h M521,,,,50676798.0,ns,19
find_g_h,find_g_h M521,,,,55084065.0,ns,19
find_g_h,find_g_h M521,,,,53984833.0,ns,19
find_g_h,find_g_h M521,,,,51413438.0,ns,19
find_g_h,find_g_h M521,,,,48853636.0,ns,19
find_g_h,find_g_h M521,,,,49436632.0,ns,19
find_g_h,find_g_h M521,,,,56478073.0,ns,19
find_g_h,find_g_h M521,,,,63528457.0,ns,19
find_g_h,find_g_h M521,,,,46560956.0,ns,19
find_g_h,find_g_h M521,,,,40547929.0,ns,19
find_g_h,find_g_h M521,,,,44806722.0,ns,19
find_g_h,find_g_h M521,,,,49468684.0,ns,19
find_g_h,find_g_h M521,,,,45360389.0,ns,19
find_g_h,find_g_h M521,,,,60172027.0,ns,19
find_g_h,find_g_h M521,,,,39189322.0,ns,19
find_g_h,find_g_h M521,,,,45660619.0,ns,19
find_g_h,find_g_h M521,,,,49438236.0,ns,19
find_g_h,find_g_h M521,,,,44492945.0,ns,19
find_g_h,find_g_h M521,,,,43710702.0,ns,19
find_g_h,find_g_h M521,,,,48158265.0,ns,19
find_g_h,find_g_h M521,,,,51519793.0,ns,19
find_g_h,find_g_h M521,,,,42094257.0,ns,19
find_g_h,find_g_h M521,,,,44155423.0,ns,19
find_g_h,find_g_h M521,,,,57117361.0,ns,19
find_g_h,find_g_h M521,,,,58306333.0,ns,19
find_g_h,find_g_h M521,,,,50918847.0,ns,19
find_g_h,find_g_h M521,,,,56078112.0,ns,19
find_g_h,find_g_h M521,,,,51987276.0,ns,19
find_g_h,find_g_h M521,,,,52647584.0,ns,19
find_g_h,find_g_h M521,,,,42949335.0,ns,19
find_g_h,find_g_h M521,,,,59792247.0,ns,19
find_g_h,find_g_h M521,,,,55445949.0,ns,19
find_g_h,find_g_h M521,,,,48418193.0,ns,19
find_g_h,find_g_h M521,,,,46216235.0,ns,19
find_g_h,find_g_h M521,,,,39316282.0,ns,19
find_g_h,find_g_h M521,,,,47897069.0,ns,19
find_g_h,find_g_h M521,,,,46966493.0,ns,19
find_g_h,find_g_h M521,,,,39467409.0,ns,19
find_g_h,find_g_h M521,,,,44209402.0,ns,19
find_g_h,find_g_h M521,,,,45808528.0,ns,19
find_g_h,find_g_h M521,,,,41889282.0,ns,19
find_g_h,find_g_h M521,,,,47788543.0,ns,19
find_g_h,find_g_h M521,,,,43723548.0,ns,19
find_g_h,find_g_h M521,,,,53024214.0,ns,19
find_g_h,find_g_h M521,,,,57543289.0,ns,19
find_g_h,find_g_h M521,,,,48548997.0,ns,19
find_g_h,find_g_h M521,,,,50723296.0,ns,19
find_g_h,find_g_h M521,,,,49566795.0,ns,19
find_g_h,find_g_h M521,,,,74595564.0,ns,19
find_g_h,find_g_h M521,,,,47941620.0,ns,19
find_g_h,find_g_h M521,,,,43505792.0,ns,19
find_g_h,find_g_h M521,,,,54224565.0,ns,19
find_g_h,find_g_h M521,,,,49499891.0,ns,19
find_g_h,find_g_h M521,,,,44169102.0,ns,19
find_g_h,find_g_h M521,,,,44298091.0,ns,19
find_g_h,find_g_h M521,,,,43788003.0,ns,19
find_g_h,find_g_h M521,,,,44454875.0,ns,19
find_g_h,find_g_h M521,,,,55209405.0,ns,19
find_g_h,find_g_h M521,,,,49560510.0,ns,19
find_g_h,find_g_h M521,,,,46988766.0,ns,19
find_g_h,find_g_h M521,,,,52196781.0,ns,19
find_g_h,find_g_h M521,,,,48999929.0,ns,19
find_g_h,find_g_h M521,,,,40866725.0,ns,19
find_g_h,find_g_h M521,,,,57044089.0,ns,19
find_g_h,find_g_h M521,,,,56848407.0,ns,19
find_g_h,find_g_h M521,,,,49392831.0,ns,19
find_g_h,find_g_h M521,,,,56739528.0,ns,19
find_g_h,find_g_h M521,,,,49824278.0,ns,19
find_g_h,find_g_h M521,,,,49145882.0,ns,19
find_g_h,find_g_h M521,,,,61183106.0,ns,19
find_g_h,find_g_h M521,,,,70038141.0,ns,19
find_g_h,find_g_h M521,,,,52354608.0,ns,19
find_g_h,find_g_h M521,,,,45921445.0,ns,19
find_g_h,find_g_h M521,,,,76106756.0,ns,19
find_g_h,find_g_h M521,,,,53435683.0,ns,19
find_g_h,find_g_h M521,,,,46548859.0,ns,19
find_g_h,find_g_h M521,,,,58734276.0,ns,19
find_g_h,find_g_h M521,,,,62938106.0,ns,19
find_g_h,find_g_h M521,,,,42985503.0,ns,19
find_g_h,find_g_h M521,,,,40111715.0,ns,19
find_g_h,find_g_h M521,,,,52095652.0,ns,19
find_g_h,find_g_h M521,,,,65995565.0,ns,19
find_g_h,find_g_h M521,,,,46850624.0,ns,19
find_g_h,find_g_h M521,,,,44764666.0,ns,19
find_g_h,find_g_h M521,,,,57076696.0,ns,19
find_g_h,find_g_h M521,,,,64346989.0,ns,19
find_g_h,find_g_h M521,,,,60834194.0,ns,19
find_g_h,find_g_h M521,,,,51528572.0,ns,19
find_g_h,find_g_h M521,,,,56665771.0,ns,19
find_g_h,find_g_h M521,,,,44363170.0,ns,19
find_g_h,find_g_h M521,,,,49204401.0,ns,19
find_g_h,find_g_h M521,,,,53622072.0,ns,19
find_g_h,find_g_h M521,,,,51600713.0,ns,19
find_g_h,find_g_h M521,,,,54120916.0,ns,19
find_g_h,find_g_h M521,,,,44264141.0,ns,19
find_g_h,find_g_h M521,,,,46505765.0,ns,19
find_g_h,find_g_h M521,,,,49998935.0,ns,19
find_g_h,find_g_h M521,,,,60630271.0,ns,19
find_g_h,find_g_h M521,,,,40549099.0,ns,19
find_g_h,find_g_h M521,,,,48062009.0,ns,19
