group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
encrypt,encrypt M2203,,,,1766954.0,ns,1
encrypt,encrypt M2203,,,,3472312.0,ns,2
encrypt,encrypt M2203,,,,5198620.0,ns,3
encrypt,encrypt M2203,,,,6929818.0,ns,4
encrypt,encrypt M2203,,,,8615621.0,ns,5
encrypt,encrypt M2203,,,,10357853.0,ns,6
encrypt,encrypt M2203,,,,12034368.0,ns,7
encrypt,encrypt M2203,,,,13750690.0,ns,8
encrypt,encrypt M2203,,,,15553889.0,ns,9
encrypt,encrypt M2203,,,,17358417.0,ns,10
encrypt,encrypt M2203,,,,18994845.0,ns,11
encrypt,encrypt M2203,,,,20638745.0,ns,12
encrypt,encrypt M2203,,,,22679672.0,ns,13
encrypt,encrypt M2203,,,,24306672.0,ns,14
encrypt,encrypt M2203,,,,26696087.0,ns,15
encrypt,encrypt M2203,,,,28246056.0,ns,16
encrypt,encrypt M2203,,,,29280137.0,ns,17
encrypt,encrypt M2203,,,,31070976.0,ns,18
encrypt,encrypt M2203,,,,32653070.0,ns,19
encrypt,encrypt M2203,,,,34360593.0,ns,20
encrypt,encrypt M2203,,,,37057990.0,ns,21
encrypt,encrypt M2203,,,,45149762.0,ns,22
encrypt,encrypt M2203,,,,45539384.0,ns,23
encrypt,encrypt M2203,,,,43439794.0,ns,24
encrypt,encrypt M2203,,,,43612427.0,ns,25
encrypt,encrypt M2203,,,,45073352.0,ns,26
encrypt,encrypt M2203,,,,46883117.0,ns,27
encrypt,encrypt M2203,,,,48732059.0,ns,28
encrypt,encrypt M2203,,,,50074543.0,ns,29
encrypt,encrypt M2203,,,,52560471.0,ns,30
encrypt,encrypt M2203,,,,54063021.0,ns,31
encrypt,encrypt M2203,,,,56032154.0,ns,32
encrypt,encrypt M2203,,,,57345654.0,ns,33
encrypt,encrypt M2203,,,,58719424.0,ns,34
encrypt,encrypt M2203,,,,61140195.0,ns,35
encrypt,encrypt M2203,,,,63591974.0,ns,36
encrypt,encrypt M2203,,,,64028526.0,ns,37
encrypt,encrypt M2203,,,,65448529.0,ns,38
encrypt,encrypt M2203,,,,67730184.0,ns,39
encrypt,encrypt M2203,,,,72264302.0,ns,40
encrypt,encrypt M2203,,,,73793460.0,ns,41
encrypt,encrypt M2203,,,,73584359.0,ns,42
encrypt,encrypt M2203,,,,79736254.0,ns,43
encrypt,encrypt M2203,,,,78119310.0,ns,44
encrypt,encrypt M2203,,,,79174902.0,ns,45
encrypt,encrypt M2203,,,,80178045.0,ns,46
encrypt,encrypt M2203,,,,81104506.0,ns,47
encrypt,encrypt M2203,,,,85479115.0,ns,48
encrypt,encrypt M2203,,,,84752807.0,ns,49
encrypt,encrypt M2203,,,,86298027.0,ns,50
encrypt,encrypt M2203,,,,88040817.0,ns,51
encrypt,encrypt M2203,,,,91205285.0,ns,52
encrypt,encrypt M2203,,,,92616278.0,ns,53
encrypt,encrypt M2203,,,,105145707.0,ns,54
encrypt,encrypt M2203,,,,103902460.0,ns,55
encrypt,encrypt M2203,,,,97352908.0,ns,56
encrypt,encrypt M2203,,,,100810762.0,ns,57
encrypt,encrypt M2203,,,,100598178.0,ns,58
encrypt,encrypt M2203,,,,102064551.0,ns,59
encrypt,encrypt M2203,,,,103984797.0,ns,60
encrypt,encrypt M2203,,,,108252624.0,ns,61
encrypt,encrypt M2203,,,,107860139.0,ns,62
encrypt,encrypt M2203,,,,108992339.0,ns,63
encrypt,encrypt M2203,,,,111486772.0,ns,64
encrypt,encrypt M2203,,,,120546065.0,ns,65
encrypt,encrypt M2203,,,,118975494.0,ns,66
encrypt,encrypt M2203,,,,116882122.0,ns,67
encrypt,encrypt M2203,,,,117765214.0,ns,68
encrypt,encrypt M2203,,,,120519107.0,ns,69
encrypt,encrypt M2203,,,,122077247.0,ns,70
encrypt,encrypt M2203,,,,127253447.0,ns,71
encrypt,encrypt M2203,,,,126988191.0,ns,72
encrypt,encrypt M2203,,,,130192739.0,ns,73
encrypt,encrypt M2203,,,,136108236.0,ns,74
encrypt,encrypt M2203,,,,130411610.0,ns,75
encrypt,encrypt M2203,,,,133339746.0,ns,76
encrypt,encrypt M2203,,,,132240648.0,ns,77
encrypt,encrypt M2203,,,,135814500.0,ns,78
encrypt,encrypt M2203,,,,135434721.0,ns,79
encrypt,encrypt M2203,,,,137422553.0,ns,80
encrypt,encrypt M2203,,,,148537153.0,ns,81
encrypt,encrypt M2203,,,,141754489.0,ns,82
encrypt,encrypt M2203,,,,143760424.0,ns,83
encrypt,encrypt M2203,,,,143979783.0,ns,84
encrypt,encrypt M2203,,,,145975592.0,ns,85
encrypt,encrypt M2203,,,,148336854.0,ns,86
encrypt,encrypt M2203,,,,149011676.0,ns,87
encrypt,encrypt M2203,,,,157284107.0,ns,88
encrypt,encrypt M2203,,,,157107769.0,ns,89
encrypt,encrypt M2203,,,,155346124.0,ns,90
encrypt,encrypt M2203,,,,156395219.0,ns,91
encrypt,encrypt M2203,,,,158228587.0,ns,92
encrypt,encrypt M2203,,,,159949358.0,ns,93
encrypt,encrypt M2203,,,,161410068.0,ns,94
encrypt,encrypt M2203,,,,172488071.0,ns,95
encrypt,encrypt M2203,,,,168459789.0,ns,96
encrypt,encrypt M2203,,,,169909191.0,ns,97
encrypt,encrypt M2203,,,,171388344.0,ns,98
encrypt,encrypt M2203,,,,172010922.0,ns,99
encrypt,encrypt M2203,,,,174102124.0,ns,100
